id,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,A_Seqv,B_Seqv,C_Seqv,D_Seqv
时间/s,主蒸汽温度,主蒸汽压力,主蒸汽流量,汽机功率,转速信号,高压缸排气温度,高压缸排气压力,高压缸内缸温度测点,中压缸排气温度,中压缸排气压力,#1级抽气温度,#1级抽气压力,#3级抽气温度,#3级抽气压力,#4级抽气温度,#4级抽气压力,#5级抽气温度,#5级抽气压力,#6级抽气温度1,#6级抽气压力1,#6级抽气温度2,#6级抽气压力2,A_Seqv,B_Seqv,A_S1,B_S1
14045,586.40002,187.19,1861.301,660.94104,2998.3052,348.90002,38.088829,576.69995,261,3.3438218,386.19998,5.0763159,420.70001,1.513889,329.30002,0.76551646,250.90001,0.39195597,154.70001,0.082673252,122.2,0.089165583,12.006,21.567,14.008,24.222
14046,586.40002,187.19,1861.301,660.94104,2998.3052,348.90002,38.088829,576.69995,261,3.3438218,386.19998,5.0763159,420.70001,1.513889,329.30002,0.76551646,250.90001,0.39195597,154.70001,0.082673252,122.2,0.089165583,12.004,21.562,14.006,24.218
14047,586.40002,187.25739,1861.97,660.84656,2999.1179,348.90002,38.088829,576.69995,261,3.329355,386.19998,5.0763159,420.70001,1.513889,329.30002,0.76551646,250.90001,0.39195597,154.70001,0.082673252,122.2,0.089165583,12.002,21.558,14.004,24.214
14048,586.40002,187.15051,1861.97,663.02246,2999.1179,348.90002,38.088829,576.69995,261,3.329355,386.19998,5.0763159,420.70001,1.513889,329.30002,0.76551646,250.90001,0.39195597,154.70001,0.082673252,122.2,0.089165583,12,21.553,14.001,24.21
14049,586.40002,187.23009,1855.0541,659.23816,2999.1179,348.90002,38.088829,576.69995,261,3.329355,386.19998,5.0763159,420.70001,1.513889,329.30002,0.76551646,250.90001,0.39195597,154.70001,0.082673252,122.2,0.089165583,11.998,21.549,13.999,24.206
14050,586.40002,187.23009,1855.0541,659.23816,2999.1179,348.90002,38.088829,576.69995,261,3.329355,386.19998,5.0763159,420.70001,1.513889,329.30002,0.76551646,250.90001,0.39195597,154.70001,0.082673252,122.2,0.089165583,11.996,21.544,13.997,24.202
14051,586.40002,187.23009,1856.6399,659.23816,2999.1179,348.90002,38.088829,576.69995,261,3.329355,386.19998,5.0763159,420.70001,1.513889,329.30002,0.76551646,250.90001,0.39195597,154.70001,0.082673252,122.2,0.089165583,11.994,21.54,13.995,24.198
14052,586.40002,187.1667,1856.6399,657.81903,2999.1179,348.90002,38.088829,576.69995,261,3.329355,386.19998,5.0763159,420.70001,1.513889,329.30002,0.76551646,250.90001,0.39195597,154.70001,0.082673252,122.2,0.089165583,11.992,21.535,13.993,24.194
14053,586.40002,187.1667,1851.39,657.81903,2999.1179,348.90002,38.088829,576.69995,261,3.329355,386.19998,5.0763159,420.70001,1.513889,329.30002,0.76551646,250.90001,0.39195597,154.70001,0.082673252,122.2,0.089165583,11.99,21.53,13.991,24.189
14054,586.40002,187.1667,1851.39,657.81903,2999.1179,348.90002,38.088829,576.69995,261,3.329355,386.19998,5.0763159,420.70001,1.513889,329.30002,0.76551646,250.90001,0.39195597,154.70001,0.082673252,122.2,0.089165583,11.988,21.526,13.989,24.185
14055,586.40002,187.15701,1851.39,659.42737,2999.8628,348.90002,38.088829,576.69995,261,3.329355,386.19998,5.0763159,420.70001,1.513889,329.30002,0.76551646,250.90001,0.39195597,154.70001,0.082673252,122.2,0.089165583,11.986,21.521,13.987,24.181
14056,586.40002,187.2383,1853.8279,659.42737,2999.8628,348.90002,38.088829,576.69995,261,3.329355,386.19998,5.0763159,420.70001,1.513889,329.30002,0.76551646,250.90001,0.39195597,154.70001,0.082673252,122.2,0.089165583,11.984,21.517,13.985,24.177
14057,586.40002,187.2383,1853.8279,659.42737,2999.8628,348.90002,38.088829,576.69995,261,3.329355,386.19998,5.0763159,420.70001,1.513889,329.30002,0.76551646,250.90001,0.39195597,154.70001,0.082673252,122.2,0.089165583,11.983,21.512,13.982,24.173
14058,586.40002,187.1479,1852.847,660.0896,2999.8628,348.90002,38.088829,576.69995,261,3.329355,386.19998,5.0763159,420.70001,1.513889,329.30002,0.76551646,250.90001,0.39195597,154.70001,0.082673252,122.2,0.089165583,11.981,21.508,13.98,24.169
14059,586.40002,187.1479,1852.847,660.0896,2999.8628,348.90002,38.088829,576.69995,261,3.329355,386.19998,5.0763159,420.70001,1.513889,329.30002,0.76551646,250.90001,0.39195597,154.70001,0.082673252,122.2,0.089165583,11.979,21.503,13.978,24.165
14060,586.40002,187.1479,1851.911,657.62982,2999.8628,348.90002,38.088829,576.69995,261,3.329355,386.19998,5.0763159,420.70001,1.513889,329.30002,0.76551646,250.90001,0.39195597,154.70001,0.082673252,122.2,0.089165583,11.977,21.498,13.976,24.161
14061,586.5,187.23779,1851.911,657.62982,2999.8628,348.90002,38.088829,576.69995,261,3.329355,386.19998,5.0763159,420.70001,1.513889,329.30002,0.76551646,250.90001,0.39195597,154.70001,0.082673252,122.2,0.089165583,11.975,21.494,13.974,24.157
14062,586.5,187.23779,1851.6631,658.85968,3000.6189,348.90002,38.088829,576.69995,261,3.329355,386.19998,5.0763159,420.70001,1.513889,329.30002,0.76551646,250.90001,0.39195597,154.70001,0.082673252,122.2,0.089165583,11.973,21.489,13.972,24.153
14063,586.5,187.23779,1851.6631,658.85968,3000.6189,348.90002,38.088829,576.69995,261,3.329355,386.19998,5.0763159,420.70001,1.513889,329.30002,0.76551646,250.90001,0.39195597,154.70001,0.082673252,122.2,0.089165583,11.971,21.485,13.97,24.149
14064,586.5,187.12831,1852.4459,658.85968,3000.6189,348.90002,38.088829,576.69995,261,3.329355,386.19998,5.0763159,420.70001,1.513889,329.30002,0.76551646,250.90001,0.39195597,154.70001,0.082673252,122.2,0.089165583,11.969,21.48,13.968,24.145
14065,586.5,187.12831,1852.4459,658.85968,3000.6189,348.90002,38.088829,576.69995,261,3.329355,386.19998,5.0763159,420.70001,1.513889,329.30002,0.76551646,250.90001,0.39195597,154.70001,0.082673252,122.2,0.089165583,11.967,21.476,13.966,24.141
14066,586.5,187.12831,1851.7311,658.85968,3001.449,348.90002,38.088829,576.69995,261,3.329355,386.19998,5.0763159,420.70001,1.513889,329.30002,0.76551646,250.90001,0.39195597,154.70001,0.082673252,122.2,0.089165583,11.965,21.471,13.964,24.136
14067,586.5,187.11801,1851.7311,658.85968,3001.449,348.90002,38.088829,576.69995,261,3.329355,386.19998,5.0763159,420.70001,1.513889,329.30002,0.76551646,250.90001,0.39195597,154.70001,0.082673252,122.2,0.089165583,11.963,21.466,13.961,24.132
14068,586.5,187.11801,1850.03,658.48132,3001.449,348.90002,38.088829,576.69995,261,3.329355,386.19998,5.0763159,420.70001,1.513889,329.30002,0.76551646,250.90001,0.39195597,154.70001,0.082673252,122.2,0.089165583,11.961,21.462,13.959,24.128
14069,586.5,187.11801,1850.03,658.48132,3001.449,348.90002,38.088829,576.69995,261,3.329355,386.19998,5.0763159,420.70001,1.513889,329.30002,0.76551646,250.90001,0.38541672,154.70001,0.082673252,122.2,0.089165583,11.959,21.457,13.957,24.124
14070,586.5,187.11801,1849.843,658.48132,3001.449,348.90002,38.088829,576.69995,261,3.3105471,386.19998,5.0763159,420.70001,1.513889,329.30002,0.76551646,250.90001,0.38541672,154.70001,0.082673252,122.2,0.089165583,11.957,21.453,13.955,24.12
14071,586.5,187.23979,1849.843,658.48132,3001.449,348.90002,38.088829,576.69995,261,3.3105471,386.19998,5.0763159,420.70001,1.513889,329.30002,0.76551646,250.90001,0.38541672,154.70001,0.082673252,122.2,0.089165583,11.955,21.448,13.953,24.116
14072,586.5,187.23979,1848.5701,658.48132,3001.449,348.90002,38.088829,576.69995,261,3.3105471,386.19998,5.0763159,420.70001,1.513889,329.30002,0.76551646,250.90001,0.38541672,154.70001,0.082673252,122.2,0.089165583,11.953,21.444,13.951,24.112
14073,586.5,187.23979,1848.5701,658.48132,3001.449,348.90002,38.088829,576.69995,261,3.3105471,386.19998,5.0763159,420.70001,1.513889,329.30002,0.76551646,250.90001,0.38541672,154.70001,0.082673252,122.2,0.089165583,11.951,21.439,13.949,24.108
14074,586.5,187.16422,1847.1901,658.48132,3001.449,348.90002,38.088829,576.69995,261,3.3105471,386.19998,5.0763159,420.70001,1.513889,329.30002,0.76551646,250.90001,0.38541672,154.70001,0.082673252,122.2,0.089165583,11.949,21.435,13.947,24.104
14075,586.5,187.16422,1847.1901,660.46796,3001.449,348.90002,38.088829,576.69995,261,3.3105471,386.19998,5.0763159,420.70001,1.513889,329.30002,0.76551646,250.90001,0.38541672,154.70001,0.082673252,122.2,0.089165583,11.948,21.43,13.945,24.1
14076,586.5,187.16422,1847.7429,659.23816,3001.449,348.90002,38.088829,576.69995,261,3.3105471,386.19998,5.0763159,420.70001,1.513889,329.30002,0.76551646,250.90001,0.38541672,154.70001,0.082673252,122.2,0.089165583,11.946,21.426,13.943,24.096
14077,586.5,187.16422,1847.7429,659.23816,3001.449,348.90002,38.088829,576.69995,261,3.3105471,386.19998,5.0763159,420.70001,1.513889,329.30002,0.76551646,250.90001,0.38541672,154.70001,0.082673252,122.2,0.089165583,11.944,21.421,13.94,24.092
14078,586.5,187.16422,1847.1101,659.23816,3001.449,348.90002,38.088829,576.69995,261,3.3105471,386.19998,5.0763159,420.70001,1.513889,329.30002,0.76551646,250.90001,0.38541672,154.70001,0.082673252,122.2,0.089165583,11.942,21.416,13.938,24.088
14079,586.5,187.16422,1847.1101,660.46796,3001.449,348.90002,38.088829,576.69995,261,3.3105471,386.19998,5.0763159,420.70001,1.513889,329.30002,0.76551646,250.90001,0.38541672,154.70001,0.082673252,122.2,0.089165583,11.94,21.412,13.936,24.084
14080,586.5,187.16739,1847.252,660.56268,3001.657,348.90002,38.088829,576.69995,261,3.3105471,386.19998,5.0763159,420.70001,1.513889,329.30002,0.76551646,250.90001,0.38541672,154.70001,0.082673252,122.2,0.089165583,11.938,21.407,13.934,24.079
14081,586.5,187.16739,1847.252,660.56268,3001.657,348.90002,38.088829,576.69995,261,3.3105471,386.19998,5.0763159,420.70001,1.513889,329.30002,0.76551646,250.90001,0.38541672,154.70001,0.082673252,122.2,0.089165583,11.936,21.403,13.932,24.075
14082,586.5,187.16739,1847.6949,660.56268,3001.657,348.90002,38.088829,576.69995,261,3.3105471,386.19998,5.0763159,420.70001,1.513889,329.30002,0.76551646,250.90001,0.38541672,154.70001,0.082673252,122.2,0.089165583,11.934,21.398,13.93,24.071
